,Genus,Species,abun,class
1,Aphaenogaster,Aphaenogaster megommata,35,granivore
2,Crematogaster,Crematogaster depilis,13,other
3,Dorymyrmex,Dorymyrmex insanus,28,omni
4,Forelius,Forelius mccooki,39,omni
5,Forelius,Forelius pruinosis,19,omni
6,Leptothorax?,Leptothorax,4,other
7,Messor,Messor pergandei,191,granivore
8,Monomorium,Monomorium ergotyna/minima,13,other
9,Myrmecocystus,Myrmecocystus ewarti,11,other
10,Myrmecocystus,Myrmecocystus flaviceps,8,other
11,Myrmecocystus,Myrmecocystus kennedyi,9,other
12,Myrmecocystus,Myrmecocystus lugubris,1,other
13,Myrmecocystus,Myrmecocystus mexicanus,16,other
14,Myrmecocystus,Myrmecocystus semirufus,1,other
15,Myrmecocystus,Myrmecocystus tenuinodis,1,other
16,Myrmecocystus,Myrmecocystus testaceus,1,other
17,Myrmecocystus,Myrmecocystus yuma,7,other
18,Pheidole,Pheidole desertorum,33,omni
19,Pheidole,Pheidole hyatti,40,granivore
20,Pheidole,Pheidole vistana,8,omni
21,Pogonomyrmex,Pogonomyrmex,11,granivore
22,Pogonomyrmex,Pogonomyrmex californicus,20,granivore
23,Pogonomyrmex,Pogonomyrmex rugusus,1,granivore
24,Solenopsis,Solenopsis molesta,6,omni
25,Solenopsis,Solenopsis xyloni,103,omni
