species,prov,lifeform
Achyronychia.cooperi,native,forb
Acmispon.strigosus,native,forb
Acmispon.wrangelianus,native,forb
Aliciella.leptomeria,native,forb
Allium.nevadense,native,forb
Ambrosia.salsola,native,shrub
Amsinckia.tesselata,native,forb
Astragalus.didymocarpus,native,forb
Astragalus.lentigonsus,native,forb
Astragalus.nuttallianus,native,forb
Brassica.tournefortii,invasive,forb
Bromus.diandrus,invasive,grass
Bromus.rubens,invasive,grass
Bromus.tectorum,invasive,grass
Calyptridium.monandrum,native,forb
Camissonia.campestris,native,forb
Castilleja.exserta,native,forb
Caulanthus.lasiophyllus,native,forb
Chaenactis.carphoclinia,native,forb
Chaenactis.fremonti,native,forb
Chorizanthe.brevicornu,native,forb
Chorizanthe.rigida,native,forb
Chylismia.brevipes,native,forb
Chylismia.caliviformis,native,forb
Cryptantha.nevadensis,native,forb
Cryptantha.sp,native,forb
Dalea.mollissima,native,forb
Dasyochloa.pulchella,native,forb
Delphinium.parishii,native,forb
Descurainia.pinnata,native,forb
Ditaxis.lanceolata,native,forb
Eleymus.glaucus,native,grass
Eremalche.parryi,native,forb
Eremothera.boothi,native,forb
Eriastrum.diffusum,native,forb
Eriastrum.eremicum,native,forb
Eriogonum.gracillimum,native,forb
Eriogonum.reniforme,native,forb
Eriogonum.trichopes,native,forb
Eriophyllum.pringlei,native,forb
Eriophyllum.wallacei,native,forb
Erodium.cicutarium,invasive,forb
Eschscholzia.glyptosperma,native,forb
Eschscholzia.minutiflora,native,forb
Festuca.microstachys,native,grass
Festuca.octoflora,native,grass
fuzzypinnatecuy2 NA,,
Gilia.clokeyi NA,native,forb
Globemallow. like bells,native,forb
Herniaria.cinerea,invasive,forb
Hordeum.murinum,invasive,grass
Lastarriaea.coriacea,native,forb
Lasthenia.californica,native,forb
Lepidium.lasiocarpum,native,forb
Leptosiphon.liniflorus,native,forb
Linanthus.demissis,native,forb
Loeseliastrum.schotti,native,forb
Logfia.depressa,native,forb
Lupinus.arizonicus,native,forb
Lupinus.flavoculatus,native,forb
Lupinus.microcarpus,native,forb
Malacothrix.glabrata,native,forb
Menzelia.sp,native,forb
Monoptilon.bellioides,native,forb
Nama.demissa,native,forb
Nemacladus.sp,native,forb
Oenothera.cespitosa,native,forb
Oxytheca.perfoliata,native,forb
Pectocarya.sp,native,forb
Phacelia.fremontii,native,forb
Phacelia.ramossima,native,forb
Phacelia.tanacetifolia,native,forb
Pholistoma.membranaceum,native,forb
Plantago.ovata,native,forb
Poa.secunda,native,grass
Rafinesquia.californica,native,forb
Rafinesquia.neomexicana,native,forb
Salvia.carduacea,native,forb
Salvia.columbariae,native,forb
Schismus.barbatus,invasive,grass
Sisymbrium.altissimum,invasive,forb
spikygren.CUY1 NA,,
Stephanomeria.exigua,native,forb
Stipa.pulchra,native,grass
Stylocline.micropoides,native,forb
unknownallgreenCUY1 NA,,
