"","Genus","Species","sum(count)"
"1","Aphaenogaster","Aphaenogaster megommata",35
"2","Crematogaster","Crematogaster depilis",13
"3","Dorymyrmex","Dorymyrmex insanus",28
"4","Forelius","Forelius mccooki",39
"5","Forelius","Forelius pruinosis",19
"6","Leptothorax?","Leptothorax",4
"7","Messor","Messor pergandei",191
"8","Monomorium","Monomorium ergotyna/minima",13
"9","Myrmecocystus","Myrmecocystus ewarti",11
"10","Myrmecocystus","Myrmecocystus flaviceps",8
"11","Myrmecocystus","Myrmecocystus kennedyi",9
"12","Myrmecocystus","Myrmecocystus lugubris",1
"13","Myrmecocystus","Myrmecocystus mexicanus",16
"14","Myrmecocystus","Myrmecocystus semirufus",1
"15","Myrmecocystus","Myrmecocystus tenuinodis",1
"16","Myrmecocystus","Myrmecocystus testaceus",1
"17","Myrmecocystus","Myrmecocystus yuma",7
"18","Pheidole","Pheidole desertorum",33
"19","Pheidole","Pheidole hyatti",40
"20","Pheidole","Pheidole vistana",8
"21","Pogonomyrmex","Pogonomyrmex",11
"22","Pogonomyrmex","Pogonomyrmex californicus",20
"23","Pogonomyrmex","Pogonomyrmex rugusus",1
"24","Solenopsis","Solenopsis molesta",6
"25","Solenopsis","Solenopsis xyloni",103
